Function,Dimension,Run,ErrorValue
1,10,1,1.00000000e+02
1,10,2,1.00000000e+02
1,10,3,1.00000000e+02
1,10,4,1.00000000e+02
1,10,5,1.00000000e+02
1,10,6,1.00000000e+02
1,10,7,1.00000000e+02
1,10,8,1.00000000e+02
1,10,9,1.00000000e+02
1,10,10,1.00000000e+02
1,10,11,1.00000000e+02
1,10,12,1.00000000e+02
1,10,13,1.00000000e+02
1,10,14,1.00000000e+02
1,10,15,1.00000000e+02
1,10,16,1.00000000e+02
1,10,17,1.00000000e+02
1,10,18,1.00000000e+02
1,10,19,1.00000000e+02
1,10,20,1.00000000e+02
1,10,21,1.00000000e+02
1,10,22,1.00000000e+02
1,10,23,1.00000000e+02
1,10,24,1.00000000e+02
1,10,25,1.00000000e+02
1,10,26,1.00000000e+02
1,10,27,1.00000000e+02
1,10,28,1.00000000e+02
1,10,29,1.00000000e+02
1,10,30,1.00000000e+02
1,10,31,1.00000000e+02
1,10,32,1.00000000e+02
1,10,33,1.00000000e+02
1,10,34,1.00000000e+02
1,10,35,1.00000000e+02
1,10,36,1.00000000e+02
1,10,37,1.00000000e+02
1,10,38,1.00000000e+02
1,10,39,1.00000000e+02
1,10,40,1.00000000e+02
1,10,41,1.00000000e+02
1,10,42,1.00000000e+02
1,10,43,1.00000000e+02
1,10,44,1.00000000e+02
1,10,45,1.00000000e+02
1,10,46,1.00000000e+02
1,10,47,1.00000000e+02
1,10,48,1.00000000e+02
1,10,49,1.00000000e+02
1,10,50,1.00000000e+02
1,10,51,1.00000000e+02
2,10,1,1.10720073e+03
2,10,2,1.11388412e+03
2,10,3,1.14073626e+03
2,10,4,1.10721969e+03
2,10,5,1.10709622e+03
2,10,6,1.10789786e+03
2,10,7,1.11266909e+03
2,10,8,1.10016974e+03
2,10,9,1.10752743e+03
2,10,10,1.12711657e+03
2,10,11,1.10377713e+03
2,10,12,1.11375308e+03
2,10,13,1.11551416e+03
2,10,14,1.11525521e+03
2,10,15,1.13846339e+03
2,10,16,1.10739362e+03
